Op[3] A[4] B[4] ALUout[8]
000 0000 0000 00000001
000 0000 0001 00000001
000 0000 0010 00000001
000 0000 0011 00000001
000 0000 0100 00000001
000 0000 0101 00000001
000 0000 0110 00000001
000 0000 0111 00000001
000 0000 1000 00000001
000 0000 1001 00000001
000 0000 1010 00000001
000 0000 1011 00000001
000 0000 1100 00000001
000 0000 1101 00000001
000 0000 1110 00000001
000 0000 1111 00000001
000 0001 0000 00000010
000 0001 0001 00000010
000 0001 0010 00000010
000 0001 0011 00000010
000 0001 0100 00000010
000 0001 0101 00000010
000 0001 0110 00000010
000 0001 0111 00000010
000 0001 1000 00000010
000 0001 1001 00000010
000 0001 1010 00000010
000 0001 1011 00000010
000 0001 1100 00000010
000 0001 1101 00000010
000 0001 1110 00000010
000 0001 1111 00000010
000 0010 0000 00000011
000 0010 0001 00000011
000 0010 0010 00000011
000 0010 0011 00000011
000 0010 0100 00000011
000 0010 0101 00000011
000 0010 0110 00000011
000 0010 0111 00000011
000 0010 1000 00000011
000 0010 1001 00000011
000 0010 1010 00000011
000 0010 1011 00000011
000 0010 1100 00000011
000 0010 1101 00000011
000 0010 1110 00000011
000 0010 1111 00000011
000 0011 0000 00000100
000 0011 0001 00000100
000 0011 0010 00000100
000 0011 0011 00000100
000 0011 0100 00000100
000 0011 0101 00000100
000 0011 0110 00000100
000 0011 0111 00000100
000 0011 1000 00000100
000 0011 1001 00000100
000 0011 1010 00000100
000 0011 1011 00000100
000 0011 1100 00000100
000 0011 1101 00000100
000 0011 1110 00000100
000 0011 1111 00000100
000 0100 0000 00000101
000 0100 0001 00000101
000 0100 0010 00000101
000 0100 0011 00000101
000 0100 0100 00000101
000 0100 0101 00000101
000 0100 0110 00000101
000 0100 0111 00000101
000 0100 1000 00000101
000 0100 1001 00000101
000 0100 1010 00000101
000 0100 1011 00000101
000 0100 1100 00000101
000 0100 1101 00000101
000 0100 1110 00000101
000 0100 1111 00000101
000 0101 0000 00000110
000 0101 0001 00000110
000 0101 0010 00000110
000 0101 0011 00000110
000 0101 0100 00000110
000 0101 0101 00000110
000 0101 0110 00000110
000 0101 0111 00000110
000 0101 1000 00000110
000 0101 1001 00000110
000 0101 1010 00000110
000 0101 1011 00000110
000 0101 1100 00000110
000 0101 1101 00000110
000 0101 1110 00000110
000 0101 1111 00000110
000 0110 0000 00000111
000 0110 0001 00000111
000 0110 0010 00000111
000 0110 0011 00000111
000 0110 0100 00000111
000 0110 0101 00000111
000 0110 0110 00000111
000 0110 0111 00000111
000 0110 1000 00000111
000 0110 1001 00000111
000 0110 1010 00000111
000 0110 1011 00000111
000 0110 1100 00000111
000 0110 1101 00000111
000 0110 1110 00000111
000 0110 1111 00000111
000 0111 0000 00001000
000 0111 0001 00001000
000 0111 0010 00001000
000 0111 0011 00001000
000 0111 0100 00001000
000 0111 0101 00001000
000 0111 0110 00001000
000 0111 0111 00001000
000 0111 1000 00001000
000 0111 1001 00001000
000 0111 1010 00001000
000 0111 1011 00001000
000 0111 1100 00001000
000 0111 1101 00001000
000 0111 1110 00001000
000 0111 1111 00001000
000 1000 0000 00001001
000 1000 0001 00001001
000 1000 0010 00001001
000 1000 0011 00001001
000 1000 0100 00001001
000 1000 0101 00001001
000 1000 0110 00001001
000 1000 0111 00001001
000 1000 1000 00001001
000 1000 1001 00001001
000 1000 1010 00001001
000 1000 1011 00001001
000 1000 1100 00001001
000 1000 1101 00001001
000 1000 1110 00001001
000 1000 1111 00001001
000 1001 0000 00001010
000 1001 0001 00001010
000 1001 0010 00001010
000 1001 0011 00001010
000 1001 0100 00001010
000 1001 0101 00001010
000 1001 0110 00001010
000 1001 0111 00001010
000 1001 1000 00001010
000 1001 1001 00001010
000 1001 1010 00001010
000 1001 1011 00001010
000 1001 1100 00001010
000 1001 1101 00001010
000 1001 1110 00001010
000 1001 1111 00001010
000 1010 0000 00001011
000 1010 0001 00001011
000 1010 0010 00001011
000 1010 0011 00001011
000 1010 0100 00001011
000 1010 0101 00001011
000 1010 0110 00001011
000 1010 0111 00001011
000 1010 1000 00001011
000 1010 1001 00001011
000 1010 1010 00001011
000 1010 1011 00001011
000 1010 1100 00001011
000 1010 1101 00001011
000 1010 1110 00001011
000 1010 1111 00001011
000 1011 0000 00001100
000 1011 0001 00001100
000 1011 0010 00001100
000 1011 0011 00001100
000 1011 0100 00001100
000 1011 0101 00001100
000 1011 0110 00001100
000 1011 0111 00001100
000 1011 1000 00001100
000 1011 1001 00001100
000 1011 1010 00001100
000 1011 1011 00001100
000 1011 1100 00001100
000 1011 1101 00001100
000 1011 1110 00001100
000 1011 1111 00001100
000 1100 0000 00001101
000 1100 0001 00001101
000 1100 0010 00001101
000 1100 0011 00001101
000 1100 0100 00001101
000 1100 0101 00001101
000 1100 0110 00001101
000 1100 0111 00001101
000 1100 1000 00001101
000 1100 1001 00001101
000 1100 1010 00001101
000 1100 1011 00001101
000 1100 1100 00001101
000 1100 1101 00001101
000 1100 1110 00001101
000 1100 1111 00001101
000 1101 0000 00001110
000 1101 0001 00001110
000 1101 0010 00001110
000 1101 0011 00001110
000 1101 0100 00001110
000 1101 0101 00001110
000 1101 0110 00001110
000 1101 0111 00001110
000 1101 1000 00001110
000 1101 1001 00001110
000 1101 1010 00001110
000 1101 1011 00001110
000 1101 1100 00001110
000 1101 1101 00001110
000 1101 1110 00001110
000 1101 1111 00001110
000 1110 0000 00001111
000 1110 0001 00001111
000 1110 0010 00001111
000 1110 0011 00001111
000 1110 0100 00001111
000 1110 0101 00001111
000 1110 0110 00001111
000 1110 0111 00001111
000 1110 1000 00001111
000 1110 1001 00001111
000 1110 1010 00001111
000 1110 1011 00001111
000 1110 1100 00001111
000 1110 1101 00001111
000 1110 1110 00001111
000 1110 1111 00001111
000 1111 0000 00010000
000 1111 0001 00010000
000 1111 0010 00010000
000 1111 0011 00010000
000 1111 0100 00010000
000 1111 0101 00010000
000 1111 0110 00010000
000 1111 0111 00010000
000 1111 1000 00010000
000 1111 1001 00010000
000 1111 1010 00010000
000 1111 1011 00010000
000 1111 1100 00010000
000 1111 1101 00010000
000 1111 1110 00010000
000 1111 1111 00010000
001 0000 0000 00000000
001 0000 0001 00000001
001 0000 0010 00000010
001 0000 0011 00000011
001 0000 0100 00000100
001 0000 0101 00000101
001 0000 0110 00000110
001 0000 0111 00000111
001 0000 1000 00001000
001 0000 1001 00001001
001 0000 1010 00001010
001 0000 1011 00001011
001 0000 1100 00001100
001 0000 1101 00001101
001 0000 1110 00001110
001 0000 1111 00001111
001 0001 0000 00000001
001 0001 0001 00000010
001 0001 0010 00000011
001 0001 0011 00000100
001 0001 0100 00000101
001 0001 0101 00000110
001 0001 0110 00000111
001 0001 0111 00001000
001 0001 1000 00001001
001 0001 1001 00001010
001 0001 1010 00001011
001 0001 1011 00001100
001 0001 1100 00001101
001 0001 1101 00001110
001 0001 1110 00001111
001 0001 1111 00010000
001 0010 0000 00000010
001 0010 0001 00000011
001 0010 0010 00000100
001 0010 0011 00000101
001 0010 0100 00000110
001 0010 0101 00000111
001 0010 0110 00001000
001 0010 0111 00001001
001 0010 1000 00001010
001 0010 1001 00001011
001 0010 1010 00001100
001 0010 1011 00001101
001 0010 1100 00001110
001 0010 1101 00001111
001 0010 1110 00010000
001 0010 1111 00010001
001 0011 0000 00000011
001 0011 0001 00000100
001 0011 0010 00000101
001 0011 0011 00000110
001 0011 0100 00000111
001 0011 0101 00001000
001 0011 0110 00001001
001 0011 0111 00001010
001 0011 1000 00001011
001 0011 1001 00001100
001 0011 1010 00001101
001 0011 1011 00001110
001 0011 1100 00001111
001 0011 1101 00010000
001 0011 1110 00010001
001 0011 1111 00010010
001 0100 0000 00000100
001 0100 0001 00000101
001 0100 0010 00000110
001 0100 0011 00000111
001 0100 0100 00001000
001 0100 0101 00001001
001 0100 0110 00001010
001 0100 0111 00001011
001 0100 1000 00001100
001 0100 1001 00001101
001 0100 1010 00001110
001 0100 1011 00001111
001 0100 1100 00010000
001 0100 1101 00010001
001 0100 1110 00010010
001 0100 1111 00010011
001 0101 0000 00000101
001 0101 0001 00000110
001 0101 0010 00000111
001 0101 0011 00001000
001 0101 0100 00001001
001 0101 0101 00001010
001 0101 0110 00001011
001 0101 0111 00001100
001 0101 1000 00001101
001 0101 1001 00001110
001 0101 1010 00001111
001 0101 1011 00010000
001 0101 1100 00010001
001 0101 1101 00010010
001 0101 1110 00010011
001 0101 1111 00010100
001 0110 0000 00000110
001 0110 0001 00000111
001 0110 0010 00001000
001 0110 0011 00001001
001 0110 0100 00001010
001 0110 0101 00001011
001 0110 0110 00001100
001 0110 0111 00001101
001 0110 1000 00001110
001 0110 1001 00001111
001 0110 1010 00010000
001 0110 1011 00010001
001 0110 1100 00010010
001 0110 1101 00010011
001 0110 1110 00010100
001 0110 1111 00010101
001 0111 0000 00000111
001 0111 0001 00001000
001 0111 0010 00001001
001 0111 0011 00001010
001 0111 0100 00001011
001 0111 0101 00001100
001 0111 0110 00001101
001 0111 0111 00001110
001 0111 1000 00001111
001 0111 1001 00010000
001 0111 1010 00010001
001 0111 1011 00010010
001 0111 1100 00010011
001 0111 1101 00010100
001 0111 1110 00010101
001 0111 1111 00010110
001 1000 0000 00001000
001 1000 0001 00001001
001 1000 0010 00001010
001 1000 0011 00001011
001 1000 0100 00001100
001 1000 0101 00001101
001 1000 0110 00001110
001 1000 0111 00001111
001 1000 1000 00010000
001 1000 1001 00010001
001 1000 1010 00010010
